============================= test session starts =============================
platform win32 -- Python 3.14.3, pytest-9.0.2, pluggy-1.6.0 -- C:\Python314\python.exe
cachedir: .pytest_cache
rootdir: C:\Tradingview\Tradingview recreation\phase1
configfile: pytest.ini
plugins: anyio-4.12.1, asyncio-1.3.0, cov-7.0.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 57 items

tests/test_waves11_20.py::TestMarketSession::test_import PASSED          [  1%]
tests/test_waves11_20.py::TestMarketSession::test_singleton PASSED       [  3%]
tests/test_waves11_20.py::TestMarketSession::test_session_types_enum PASSED [  5%]
tests/test_waves11_20.py::TestMarketSession::test_classify_session PASSED [  7%]
tests/test_waves11_20.py::TestMarketSession::test_get_state PASSED       [  8%]
tests/test_waves11_20.py::TestMarketSession::test_is_trading_day PASSED  [ 10%]
tests/test_waves11_20.py::TestMarketSession::test_is_holiday PASSED      [ 12%]
tests/test_waves11_20.py::TestMarketSession::test_get_next_open PASSED   [ 14%]
tests/test_waves11_20.py::TestMarketSession::test_to_dict PASSED         [ 15%]
tests/test_waves11_20.py::TestElasticsearchService::test_import PASSED   [ 17%]
tests/test_waves11_20.py::TestElasticsearchService::test_singleton PASSED [ 19%]
tests/test_waves11_20.py::TestElasticsearchService::test_index_names PASSED [ 21%]
tests/test_waves11_20.py::TestElasticsearchService::test_index_templates_exist PASSED [ 22%]
tests/test_waves11_20.py::TestDataSpine::test_import PASSED              [ 24%]
tests/test_waves11_20.py::TestDataSpine::test_singleton PASSED           [ 26%]
tests/test_waves11_20.py::TestDataSpine::test_default_universe PASSED    [ 28%]
tests/test_waves11_20.py::TestPaperBroker::test_import PASSED            [ 29%]
tests/test_waves11_20.py::TestPaperBroker::test_singleton PASSED         [ 31%]
tests/test_waves11_20.py::TestPaperBroker::test_ensure_paper_only PASSED [ 33%]
tests/test_waves11_20.py::TestPaperBroker::test_kill_switch_activate_deactivate PASSED [ 35%]
tests/test_waves11_20.py::TestPaperBroker::test_readiness_check PASSED   [ 36%]
tests/test_waves11_20.py::TestPortfolioAllocator::test_import PASSED     [ 38%]
tests/test_waves11_20.py::TestPortfolioAllocator::test_singleton PASSED  [ 40%]
tests/test_waves11_20.py::TestPortfolioAllocator::test_equal_weight PASSED [ 42%]
tests/test_waves11_20.py::TestPortfolioAllocator::test_sector_classification PASSED [ 43%]
tests/test_waves11_20.py::TestPerformanceLedger::test_import PASSED      [ 45%]
tests/test_waves11_20.py::TestPerformanceLedger::test_singleton PASSED   [ 47%]
tests/test_waves11_20.py::TestPerformanceLedger::test_record_trade PASSED [ 49%]
tests/test_waves11_20.py::TestBacktesterV3::test_import PASSED           [ 50%]
tests/test_waves11_20.py::TestBacktesterV3::test_singleton PASSED        [ 52%]
tests/test_waves11_20.py::TestBacktesterV3::test_execution_model_defaults PASSED [ 54%]
tests/test_waves11_20.py::TestDiscovery::test_import PASSED              [ 56%]
tests/test_waves11_20.py::TestDiscovery::test_singleton PASSED           [ 57%]
tests/test_waves11_20.py::TestDiscovery::test_templates PASSED           [ 59%]
tests/test_waves11_20.py::TestDiscovery::test_generate_candidates PASSED [ 61%]
tests/test_waves11_20.py::TestAIStrategyBuilder::test_import PASSED      [ 63%]
tests/test_waves11_20.py::TestAIStrategyBuilder::test_singleton PASSED   [ 64%]
tests/test_waves11_20.py::TestAIStrategyBuilder::test_guardrail_rules_exist PASSED [ 66%]
tests/test_waves11_20.py::TestSentimentPipeline::test_import PASSED      [ 68%]
tests/test_waves11_20.py::TestSentimentPipeline::test_singleton PASSED   [ 70%]
tests/test_waves11_20.py::TestWorkflowEngine::test_import PASSED         [ 71%]
tests/test_waves11_20.py::TestWorkflowEngine::test_singleton PASSED      [ 73%]
tests/test_waves11_20.py::TestWorkflowEngine::test_builtin_templates PASSED [ 75%]
tests/test_waves11_20.py::TestObservabilityService::test_import PASSED   [ 77%]
tests/test_waves11_20.py::TestObservabilityService::test_singleton PASSED [ 78%]
tests/test_waves11_20.py::TestObservabilityService::test_system_health PASSED [ 80%]
tests/test_waves11_20.py::TestObservabilityService::test_counter_increment PASSED [ 82%]
tests/test_waves11_20.py::TestProductizationService::test_import PASSED  [ 84%]
tests/test_waves11_20.py::TestProductizationService::test_singleton PASSED [ 85%]
tests/test_waves11_20.py::TestProductizationService::test_default_universe PASSED [ 87%]
tests/test_waves11_20.py::TestProductizationService::test_config_profiles PASSED [ 89%]
tests/test_waves11_20.py::TestProductizationService::test_builtin_runbooks PASSED [ 91%]
tests/test_waves11_20.py::TestProductizationService::test_release_info PASSED [ 92%]
tests/test_waves11_20.py::TestCrossModuleIntegration::test_all_modules_import PASSED [ 94%]
tests/test_waves11_20.py::TestCrossModuleIntegration::test_package_version PASSED [ 96%]
tests/test_waves11_20.py::TestCrossModuleIntegration::test_no_live_trading PASSED [ 98%]
tests/test_waves11_20.py::TestCrossModuleIntegration::test_default_universes_match PASSED [100%]

============================= 57 passed in 0.09s ==============================
