[CONFIG] Loading keys from: C:\Tradingview\Tradingview recreation\phase1\services\..\keys.env
2026-02-26 23:25:44 [info     ] application_startup
2026-02-26 23:25:44 [info     ] database_initialized
2026-02-26 23:25:44 [info     ] autopilot_db_initialized
2026-02-26 23:25:44 [info     ] using_alpaca_live_data
2026-02-26 23:25:44 [info     ] starting_ingestion_service     component=ingestion_service mode=live provider=alpaca symbols=['AAPL', 'TSLA', 'MSFT']
2026-02-26 23:25:44 [info     ] using_alpaca_ws_connector      component=ingestion_service mode=live provider=alpaca
2026-02-26 23:25:44 [info     ] alpaca_ws_connecting           connector=alpaca-ws
2026-02-26 23:25:44 [info     ] ingestion_service_started      component=ingestion_service mode=live provider=alpaca
2026-02-26 23:25:44 [info     ] ws_heartbeat_started           component=ws_manager
2026-02-26 23:25:44 [info     ] autopilot_ws_manager_started   component=autopilot_ws_manager
2026-02-26 23:25:44 [info     ] starting_history_backfill      component=ingestion_service days=1 mode=live provider=alpaca
2026-02-26 23:25:44 [info     ] yfinance_connected             connector=yfinance
2026-02-26 23:25:44 [info     ] alpaca_ws_subscribed_on_connect connector=alpaca-ws symbols=['TSLA', 'AAPL', 'MSFT']
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534940 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534941 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534942 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534944 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534946 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534947 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534948 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534949 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534950 component=bar_repository symbol=AAPL timeframe=1m
2026-02-26 23:25:44 [debug    ] bar_saved                      bar_index=29534951 component=bar_repository symbol=AAPL timeframe=1m
