timestamp,open,high,low,close,volume
2024-01-02,185.23,186.45,184.80,185.90,45230000
2024-01-03,185.90,186.73,184.95,186.20,38450000
2024-01-04,186.20,187.15,185.50,186.80,42100000
2024-01-05,186.80,187.65,186.20,187.40,39800000
2024-01-08,187.40,188.30,186.90,187.95,41200000
2024-01-09,187.95,188.80,187.40,188.50,37600000
2024-01-10,188.50,189.45,188.10,189.20,43500000
2024-01-11,189.20,190.10,188.70,189.80,40100000
2024-01-12,189.80,190.65,189.30,190.40,38900000
2024-01-16,190.40,191.20,189.90,190.85,36700000
2024-01-17,190.85,191.75,190.30,191.50,41800000
2024-01-18,191.50,192.30,191.00,191.90,39200000
2024-01-19,191.90,192.80,191.40,192.60,44100000
2024-01-22,192.60,193.45,192.10,193.20,37900000
2024-01-23,193.20,194.00,192.70,193.70,40500000
2024-01-24,193.70,194.55,193.20,194.30,38300000
2024-01-25,194.30,195.10,193.80,194.80,42700000
2024-01-26,194.80,195.65,194.30,195.40,36100000
2024-01-29,195.40,196.20,194.90,195.90,39400000
2024-01-30,195.90,196.75,195.40,196.50,41600000
2024-01-31,196.50,197.30,196.00,197.10,43200000
